"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8984771573604","86.6396761133603","82.5309992706054","79.6377054679638","79.928664072633","74.3860109498193","70.9967837702649","64.5643135803172","62.7312132409209","64.6655585140977","68.0752981880873","64.5941526531523","65.0612625386555","65.5292950658025","62.9185634689552","60.2181860904717","69.7510127562388","73.1035458041627","76.5483116318725","78.2754936773626","72.8529128494511","71.8204350098217","72.5486898260087","72.2527739552586","73.2345915426225","55.3268100087548","69.0697088328819","83.1246052910135","",
"Africa Eastern and Southern","AFE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","29.7219488338094","23.8570355470426","21.7298458970752","20.8733740954724","21.3169020549877","23.0333566423851","24.3572378604928","25.371266757131","24.5230633679776","22.877544407776","20.9254228214114","18.8838465842828","21.8792249380752","22.8861195808965","23.9492555376605","24.6203109655075","25.743872747727","24.7753184940235","25.1285724221975","25.0309666754475","25.8907979886661","27.5429385201724","28.0729280798358","25.8989954127653","25.9976746181361","27.8115746376449","29.717619939836","32.0757794315822","35.5852749854144","27.3841035066576","29.580293655658","31.4156769379713","29.9670395257852","29.1674502458208","28.5725863235849","24.0460235003111","23.2499288224995","23.8248968460055","25.3159207377354","23.9031236285442","22.0361602537156","25.9224057640715","27.5953544697689","24.5031596002276",
Afghanistan,"AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4208171386207","14.342152797537","18.3800424016375","",
Africa Western and Central,AFW,"Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.0849959046266","54.3213388113835","58.3803583199793","65.5262677696291","63.4678635039226","67.9057833724671","72.4750287994632","58.7573002977584","61.5431158851524","60.6699475151848","55.9401306344811","50.7470857909554","44.6950294609853","29.7545979506807","28.1244854472006","29.0041020030504","40.8362898299819","40.7907550532833","38.3145407409807","47.7452759783385","44.3996170780022","39.8726733005993",
"Albania","ALB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.9574919106695","23.8105066597225","20.0729179060642","18.8520751406844","18.0403314265347","16.8203725696072","15.6061801305352","16.0299218388153","16.9793941336596","18.5933534612466","15.4050638293415","7.48481872467814","12.4995914932505","15.9788298133865","11.983694347693","12.6408294970517","11.620333234637","10.1971272832635","11.4671662578473","16.8417629634305","20.1152855452625","21.3334108322137","20.9456161731319","20.8473864531722","22.2175607600291","23.0129911473171","25.2096077274316","28.2478654166425","25.3024181160681","25.2407486083138","27.9794352415409","29.2415371390963","28.9374877608303","28.9163151372576","28.2130014584625","27.2673911512668","28.9778991754721","31.5697983098872","31.5719544148007","31.3042698874727","22.6577896143959","31.3091607591559","37.395422208546","39.6233960066537",
"Andorra","AND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.1043076832951","39.4110546050648","42.710647468068","47.6351149398361","52.3041215450094","53.8965503706499","53.8750334239863","56.8915402747831","46.3393180337228","48.7195985892222","53.0244783820765","54.550948425584","52.7437910779633","48.9471512755127","40.9958107514995","38.146583518502","42.5229543645415","45.0138434076296","43.0914173175096","35.7801215716525","","","",
"United Arab Emirates","ARE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1592253276122","49.5033473840813","55.9231992151745","63.5677298138648","67.5853113898841","68.6277976715135","72.3840975003088","78.86788870154","79.6533178621862","79.392673459848","87.5386024465685","97.6349633773452","98.0075860876661","96.9237967434986","97.5631880705978","97.6631210861556","98.342392206754","91.994776867123","96.6641687524381","95.9265985861602","","","",
"Argentina","ARG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","7.60404910825644","5.9949469947787","4.69184275899831","7.89045420262462","5.56371560478508","6.22587443766796","6.65291738359955","7.4955962262493","6.48445346277515","6.3987133165299","5.601566676004","6.00723288128889","7.19776583908352","7.61266772119213","6.9025707976099","5.82405179865594","9.17538829640174","9.61589241271337","8.60838993811478","6.5109154667574","5.06197268111518","6.92104948030999","9.09049307859513","9.15152068682072","7.5898953117888","11.7360980207352","8.16197754429543","7.87320581340031","9.53161297293404","13.0584089085641","10.3595365925264","7.67504334832217","6.5981874720374","6.90935153370832","7.52994872591672","9.68041025959015","10.4285967560139","10.5608501019262","10.4155819610919","9.82717451494235","10.9863752325576","11.5790080825317","28.3825969991682","25.9309429264224","23.8476194239892","23.2458767338576","23.0266946038115","22.6627503115066","22.0609003826242","19.5609850560818","18.9338234053709","18.4492091453155","16.2378594620246","14.6171733884386","14.4054785893756","10.7056520504538","12.5270951690009","11.3202833596733","14.4366857499034","17.9248783778462","16.6054144372484","17.9965879441795","16.2995616770379","12.9194246104445",
